Designator,Mid X,Mid Y,Rotation,Layer
C1,73.0,-133.0,0.0,top
C10,67.5,-97.0,270.0,bottom
C11,68.0,-109.25,0.0,bottom
C12,102.5,-108.75,0.0,bottom
C2,93.0,-133.0,180.0,top
C3,83.0,-92.347349,90.0,top
C5,73.0,-127.0,0.0,top
C6,83.0,-103.0,180.0,top
C7,93.0,-127.0,0.0,top
C8,83.0,-134.0,90.0,top
D1,90.5,-90.75,90.0,top
D4,83.0,-107.0,180.0,top
P1,60.0,-139.0,0.0,top
P2,57.0,-139.0,0.0,top
P3,81.5,-83.25,0.0,top
P6,84.5,-83.25,0.0,top
P7,109.0,-139.0,0.0,top
P8,106.0,-139.0,0.0,top
Q1,65.7475,-120.81,180.0,top
Q2,82.2475,-120.81,180.0,top
Q3,98.7475,-120.81,180.0,top
R1,62.25,-129.5,0.0,top
R10,60.0,-112.25,90.0,top
R11,106.0,-112.5,90.0,top
R12,57.5,-90.75,270.0,top
R14,75.5,-90.75,270.0,top
R2,93.0,-112.5,90.0,top
R3,103.75,-129.8,180.0,top
R4,103.75,-125.75,180.0,top
R5,62.25,-133.0,180.0,top
R6,73.0,-112.25,90.0,top
R7,83.0,-129.0,180.0,top
R8,83.0,-125.75,0.0,top
R9,62.25,-126.0,180.0,top
RV1,83.0,-102.5,0.0,bottom
RV2,66.5,-77.1,0.0,bottom
RV3,99.5,-77.1,0.0,bottom
RV4,66.5,-112.123,0.0,top
RV5,99.5,-111.873,0.0,top
TP1,60.0,-120.0,0.0,top
TP2,93.0,-120.0,0.0,top
